CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
7,28,40,6.157894736842105,1184.1274229068204,65.78485682815669,84.86081638024926,15,3,1,8,0,21,9,2,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,3,0,0,0,1,1,0,0,0,3,0,0,0,0,0
3,0,0,0.0,0.0,0.0,100.0,9,2,0,8,4,0,0,1,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4,15,19,4.0,296.92368526624745,16.4957602925693,90.72657675792557,11,1,1,3,0,13,2,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1
2,8,15,5.0,225.0,12.5,93.51880135344636,10,1,1,3,0,10,5,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
5,11,15,2.857142857142857,148.26135508445563,8.236741949136423,92.85622817815786,10,2,0,4,0,7,6,3,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
2,7,9,0.5,12.63309714925922,0.701838730514401,81.59661296097816,40,3,0,6,11,0,3,3,19,3,0,2,0,0,0,0,0,0,2,0,5,0,0,0,0,0,3,0,0,3,0,6,0,0,0,3,0,0,0,0,4,0,0,0,0,1
2,12,14,2.25,112.92631877271643,6.273684376262024,78.86767571621931,41,4,1,7,8,2,4,5,22,4,0,3,0,0,0,0,0,0,2,0,5,0,0,0,0,0,4,0,0,6,0,6,0,0,0,3,0,0,0,0,7,0,0,0,0,1
2,14,18,3.0555555555555554,209.4045207131682,11.633584484064901,62.57650691134274,11,1,0,4,0,10,2,2,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1
3,6,8,1.25,25.84962500721156,1.43609027817842,97.1419750599456,7,1,0,3,2,2,3,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,8,12,1.3333333333333333,48.0,2.6666666666666665,87.23300969522529,13,1,2,7,0,4,4,3,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
8,17,21,2.0,171.67343933251428,9.537413296250794,83.42326128098982,22,4,3,12,0,8,0,2,20,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0
