CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
3,10,18,2.5714285714285716,153.75781467764364,8.542100815424646,90.69392980625153,12,4,0,6,1,6,3,2,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,9,15,2.5,118.87218755408671,6.604010419671484,87.57828853456137,15,2,2,5,0,13,2,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1
3,9,15,2.25,106.98496879867804,5.943609377704336,93.1957041375759,14,2,0,5,0,16,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,5,5,1.0,11.60964047443681,0.6449800263576005,92.02569758829908,11,1,0,4,0,9,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
4,13,17,2.4444444444444446,153.7738282871965,8.542990460399805,88.43418205846575,10,1,0,3,0,11,4,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
3,8,12,1.3333333333333333,48.0,2.6666666666666665,91.33599971403716,14,1,1,7,1,11,3,1,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
8,26,33,4.052631578947368,628.6219644103429,34.92344246724127,60.649855592784945,32,6,2,14,9,1,4,5,27,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,4,1,8,0,0,0,1,0,0,0,0,3,0,1,0,1,1
7,15,21,2.5454545454545454,208.84106092889172,11.602281162716206,73.8218381342823,21,3,1,10,9,5,3,4,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,1,4,0,0,0,1,0,0,0,0,3,0,1,0,0,1
4,11,18,3.4285714285714284,213.49635132161606,11.860908406756447,85.83615164465819,14,2,0,6,0,12,4,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,1
5,17,28,2.769230769230769,316.9355803061802,17.607532239232235,75.22786175471965,19,1,0,7,0,19,5,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
5,16,34,5.0,680.0,37.77777777777778,88.06057520832555,12,2,0,4,0,14,3,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,7,1,0,3,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,10,16,2.142857142857143,113.89467753899528,6.327482085499738,91.06423400497249,9,1,0,4,0,6,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,11,11,2.0,76.10749561002055,4.228194200556697,84.84084504395886,29,0,0,5,0,15,2,3,21,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1
4,11,17,2.857142857142857,168.02953576238303,9.33497420902128,82.58850968608493,17,1,0,5,0,12,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
3,14,21,2.8,223.8724694169871,12.437359412054839,86.15784330850623,11,1,0,4,0,11,6,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
5,22,30,4.666666666666667,624.3204266092217,34.68446814495676,81.37194946816017,13,1,0,4,0,12,6,2,7,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2,18,23,2.5,239.77068758293296,13.320593754607387,77.44529220870251,23,0,1,3,0,7,4,2,15,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1
5,18,30,3.8461538461538463,481.145192474113,26.730288470784057,75.88786667089298,18,2,1,5,1,12,6,3,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1
